Audio File,Clip length(hh:mm:ss),Audio File Size (in MB),Audio Format,Annotation File,Source Video Title,Web Link of the video
UKIERI_HINDI_AUDIO_001.wav,00:14:50,149,wav,UKIERI_HINDI_AUDIO_001.TextGrid,Akberuddin owaisi in nanded,https://drive.google.com/file/d/1n9-hM0QLDYdlzIa4_VT_bwksWHIpuxFc/view?usp=sharing
UKIERI_HINDI_AUDIO_002.wav,00:29:42,299,wav,UKIERI_HINDI_AUDIO_002.TextGrid,"BIG DEBATE Is Congress coming in way of national development [Low, 360p]",https://www.youtube.com/watch?v=0xSPJK-BbXA
UKIERI_HINDI_AUDIO_003.wav,00:23:45,239,wav,UKIERI_HINDI_AUDIO_003.TextGrid,"Do Muslims need to do more to pushback extremism [Low, 360p]",https://www.youtube.com/watch?v=d1IG4HajxtM
UKIERI_HINDI_AUDIO_004.wav,00:29:17,295,wav,UKIERI_HINDI_AUDIO_004.TextGrid,"Dr Subramanian Swamy in IBN7 Debate why Gandhi family saved Quattrochi in Bofors Scam [Low, 360p]",https://www.youtube.com/watch?v=CHtRTnPVf9g
UKIERI_HINDI_AUDIO_005.wav,00:31:52,321,wav,UKIERI_HINDI_AUDIO_005.TextGrid,"Halla Bol Maharashtra Govt Sympathetic Towards Sanatan Sanstha [Low, 360p]",https://www.youtube.com/watch?v=qIToUVEajiI
UKIERI_HINDI_AUDIO_006.wav,00:47:27,478,wav,UKIERI_HINDI_AUDIO_006.TextGrid,"Has Achhe Din Come For Muslims In India (Part 2) [HD, 720p]",https://www.youtube.com/watch?v=aQiDh9wa304
UKIERI_HINDI_AUDIO_007.wav,00:28:30,287,wav,UKIERI_HINDI_AUDIO_007.TextGrid,"Is the Centre attempting to redefine secular by citing Dr Ambedkar [Low, 360p]",https://www.youtube.com/watch?v=EFv7KKkR_2k
UKIERI_HINDI_AUDIO_008.wav,00:14:45,148,wav,UKIERI_HINDI_AUDIO_008.TextGrid,Is Wahhabism the inspiration behind the rise of ISIS,https://www.youtube.com/watch?v=_iN8qYpXbSY
UKIERI_HINDI_AUDIO_009.wav,00:24:44,249,wav,UKIERI_HINDI_AUDIO_009.TextGrid,"Prime Time Protesting against governments decisions is anti-Hindu [Low, 360p]",https://www.youtube.com/watch?v=5GjopwUU5LY
UKIERI_HINDI_AUDIO_010.wav,00:14:57,151,wav,UKIERI_HINDI_AUDIO_010.TextGrid,"Prime Time Sangh favours dialogue with brother Pakistan [Low, 360p]",https://www.youtube.com/watch?v=pO9z2Dvscpk
UKIERI_HINDI_AUDIO_011.wav,00:31:40,319,wav,UKIERI_HINDI_AUDIO_011.TextGrid,"Sushma attacks in Lok Sabha I Blames Rajiv Gandhi for fleeing of Anderson and Quattrocch [Low, 360p]",https://www.youtube.com/watch?v=prCVLzV26BY
UKIERI_HINDI_AUDIO_012.wav,00:04:43,47.6,wav,UKIERI_HINDI_AUDIO_012.TextGrid,Asaduddin Owaisi Speaks on JNU & Rohith Vemula in Parliament All India Word ,https://www.youtube.com/watch?v=8IvHY-nOLWY
UKIERI_HINDI_AUDIO_013.wav,00:34:15,345,wav,UKIERI_HINDI_AUDIO_013.TextGrid,JNU Kand Reply Anurag Thakur Speech Parliament Of India BJP MP Lok Sabha Speech ,https://www.youtube.com/watch?v=B2IjmbG3aUM
UKIERI_HINDI_AUDIO_014.wav,01:05:24,660,wav,UKIERI_HINDI_AUDIO_014.TextGrid,JNU row  Anurag Thakur vs Jyotiraditya Scindia,http://wapistan.co.in/download/EepLfA83jRO.html
UKIERI_HINDI_AUDIO_015.wav,00:23:02,232,wav,UKIERI_HINDI_AUDIO_015.TextGrid,JNU students union president Kanhaiya Kumar Speech against RSS before arrested || 2016 ,https://www.youtube.com/watch?v=21qExVVuhhk
